wavenumber,k1,k2,k3
1525.4,0.010802,0.020297,0.016858
1527.4,0.010702,0.020114,0.016722
1529.3,0.010604,0.019935,0.016589
1531.2,0.010507,0.019758,0.016456
1533.2,0.010412,0.019583,0.016326
1535.1,0.010317,0.019411,0.016197
1537,0.010225,0.019241,0.016069
1538.9,0.010133,0.019073,0.015943
1540.9,0.010043,0.018908,0.015818
1542.8,0.0099535,0.018745,0.015695
1544.7,0.0098656,0.018584,0.015573
1546.7,0.0097789,0.018425,0.015453
1548.6,0.0096933,0.018268,0.015334
1550.5,0.0096089,0.018113,0.015216
1552.4,0.0095256,0.017961,0.0151
1554.4,0.0094434,0.01781,0.014984
1556.3,0.0093623,0.017661,0.014871
1558.2,0.0092822,0.017514,0.014758
1560.2,0.0092033,0.017369,0.014647
1562.1,0.0091252,0.017226,0.014537
1564,0.0090483,0.017085,0.014428
1565.9,0.0089723,0.016945,0.01432
1567.9,0.0088972,0.016807,0.014214
1569.8,0.0088232,0.016671,0.014108
1571.7,0.00875,0.016537,0.014004
1573.7,0.0086778,0.016404,0.013901
1575.6,0.0086065,0.016273,0.013799
1577.5,0.008536,0.016143,0.013698
1579.4,0.0084665,0.016015,0.013599
1581.4,0.0083978,0.015889,0.0135
1583.3,0.00833,0.015764,0.013403
1585.2,0.0082629,0.01564,0.013306
1587.2,0.0081967,0.015519,0.01321
1589.1,0.0081313,0.015398,0.013116
1591,0.0080667,0.015279,0.013022
1592.9,0.0080029,0.015161,0.01293
1594.9,0.0079398,0.015045,0.012838
